Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Chad,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",168.3110704,153.5160583,186.7378114
Sao Tome and Principe,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",194.5700358,177.7810137,215.2695568
Congo,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",380.6431926,347.2329626,419.3602568
Democratic Republic of the Congo,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",308.9227474,282.7633925,341.315101
Cameroon,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",182.1363176,167.1850386,200.2242519
Central African Republic,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",360.0425671,328.8172522,395.5891054
Angola,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",309.5231142,284.7296069,339.0370074
Morocco,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",417.6445687,378.123669,460.7070312
Libya,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",490.3064842,439.0730571,545.1592011
Tunisia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",374.7917537,338.7425619,415.9355667
Algeria,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",382.4780649,346.7834164,424.6397309
Namibia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",344.5953948,314.8724486,379.2179093
Swaziland,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",501.7274483,462.1300997,546.1441418
Lesotho,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",454.3723665,418.4714909,495.4604623
South Africa,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",421.5838786,385.1611868,462.4035421
Botswana,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",401.4959166,367.1454289,440.350498
Togo,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",192.9032629,175.8705124,213.1712256
Sierra Leone,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",191.7904171,175.8563735,210.7875407
Senegal,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",242.1495379,220.6557005,267.4730074
Nigeria,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",132.2817529,121.0555584,146.9200577
Niger,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",158.6322411,145.030944,175.8319538
Mauritania,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",225.9281172,206.5385721,249.6711755
Mali,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",178.6070308,162.8862493,197.082331
Liberia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",216.2220182,197.2534272,240.5942508
Guinea-Bissau,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",212.1189058,194.5843462,233.7519767
The Gambia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",197.0299126,180.4772702,218.1134078
Guinea,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",172.4788511,157.3698399,189.3175949
Ghana,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",249.0551514,227.3182739,273.6129585
Cape Verde,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",251.9631365,228.4549642,277.569058
Cote d'Ivoire,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",202.0394151,183.9114315,222.8619611
Burkina Faso,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",177.8927418,163.8384423,194.5283548
Benin,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",210.2931377,192.9917252,233.3169408
Dominica,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",448.0868682,411.587324,490.2358676
Dominican Republic,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",278.5408597,254.6067367,306.8271714
Antigua and Barbuda,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",454.2857607,416.3441537,501.7357563
Cuba,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",311.8969263,280.435854,346.7311957
Grenada,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",472.422644,436.4925848,512.7854713
Jamaica,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",477.1746874,439.8957566,517.3956585
Trinidad and Tobago,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",652.9036282,597.4028572,720.0550766
The Bahamas,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",400.4796274,365.2566539,441.67302
Saint Lucia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",473.3490414,433.5470313,516.7645412
Saint Vincent and the Grenadines,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",547.6444937,504.7722337,597.076666
Barbados,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",521.5498872,475.6535868,571.3723465
Haiti,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",349.1569852,318.2590313,386.6141053
Puerto Rico,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",538.5723213,496.8783122,588.0947421
"Virgin Islands, U.S.",2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",469.7987584,423.7099945,520.1920523
Panama,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",280.3723696,257.2190001,307.1874558
El Salvador,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",322.4932918,295.8186817,351.0991748
Nicaragua,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",269.3109287,245.9062176,295.4970218
Mexico,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",509.2282165,469.8725538,555.495901
Honduras,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",249.4780698,227.8353067,276.8260834
Guatemala,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",341.3986439,313.4531733,370.7392649
Costa Rica,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",222.8322012,202.6622867,246.8388581
Belize,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",372.2756161,341.9894479,409.2590127
United States,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",427.5173973,395.275671,460.4182632
Greenland,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",289.0126062,255.5975764,326.0059647
Bermuda,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",367.683432,330.7293271,409.1815385
Colombia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",195.5826003,178.6320761,215.4878281
Guyana,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",456.3680721,418.1282435,500.3521082
Ecuador,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",283.1099141,260.5415299,308.4620473
Paraguay,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",318.4945192,293.1991026,350.0897708
Suriname,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",447.9117821,405.2393918,494.5411337
Uruguay,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",447.8455032,404.780694,493.514555
Venezuela,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",308.7857318,281.5855474,337.6402009
Peru,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",197.4661704,180.0891061,216.9256217
Chile,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",395.0278373,355.5646212,436.8600056
Brazil,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",222.9557376,203.553064,245.2136446
Bolivia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",296.5318098,269.5932002,326.8513105
Argentina,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",356.3645901,322.9624901,391.0003171
Turkmenistan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",393.1828753,358.6655798,434.6424155
Uzbekistan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",413.1926312,375.1704792,459.019865
Tajikistan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",349.2814574,317.3998898,384.6036237
Kyrgyzstan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",262.8013218,238.3781068,290.8685909
Kazakhstan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",322.9386526,291.4123082,357.1294617
Mongolia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",261.5961379,235.2230201,292.7020455
Taiwan (Province of China),2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",444.9710955,407.9613334,483.6522637
South Korea,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",461.3008814,418.9275404,509.9287786
North Korea,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",280.2348272,252.9917479,313.0876185
Japan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",270.8018152,238.5275604,303.3945079
Myanmar,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",451.8696291,414.13657,494.7386032
Cambodia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",321.1839286,292.1883515,355.3946451
Vietnam,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",369.2011152,336.5467223,407.9523997
Laos,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",350.6897741,319.0636259,387.0482501
Malaysia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",334.6802052,303.5832787,371.6790983
Thailand,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",337.3899323,306.0840309,373.3543096
Brunei,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",557.6501682,503.7762111,621.8682668
Philippines,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",391.9535038,359.032255,428.7310527
Indonesia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",422.2611614,382.9275181,466.500521
Singapore,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",322.2301894,290.1437801,359.0524139
Timor-Leste,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",303.2796795,276.3339847,336.1558857
Maldives,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",328.5583038,296.015049,369.5030125
Nepal,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",227.3842642,208.1714293,249.42118
Iran,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",387.5849209,350.9608104,429.4006509
Sri Lanka,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",507.8784314,461.1173606,555.4696603
Bhutan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",247.5460049,223.7877825,276.6479932
Bangladesh,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",253.2333369,233.9377126,275.3454933
Afghanistan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",320.8166174,289.6295021,357.6350338
Oman,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",437.4223696,387.3037213,497.8079152
Kuwait,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",400.1004171,355.6199232,455.020873
Palestine,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",342.6767524,313.8986524,377.963338
Lebanon,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",420.934124,382.8128274,463.2063895
Qatar,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",553.5663424,487.5954769,633.1626624
Saudi Arabia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",459.2859022,411.9876112,518.7754285
Turkey,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",326.3213364,297.1180776,357.9989688
Yemen,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",209.3633321,189.3990444,232.2212985
Iraq,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",350.8931692,322.4918861,387.0084238
Jordan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",380.6649213,346.8929939,423.7070623
Syria,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",301.6099568,272.0676187,335.9884952
Israel,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",371.2580488,339.4661607,406.5849065
Georgia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",546.013091,493.5153596,603.1878139
Cyprus,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",462.9375025,419.3900295,513.6952259
Bahrain,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",685.772752,607.9835411,774.9995067
Azerbaijan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",454.2832523,408.656423,504.6155511
Armenia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",515.7865493,471.4537639,563.0227196
United Arab Emirates,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",654.6545942,556.0616851,768.9164259
Moldova,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",368.0659719,332.3023021,408.2411101
Hungary,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",478.3168461,432.814739,528.4124239
Poland,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",405.9323378,365.7124274,450.9823264
Romania,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",310.2790716,280.4940444,342.6690169
Ukraine,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",336.236086,303.5544173,374.6889113
Belarus,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",293.0405961,263.3684527,326.8286136
Czech Republic,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",511.854807,464.7048792,560.3746893
Russian Federation,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",331.8314349,297.9337187,368.9877863
Slovakia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",348.8412814,314.1626659,386.2819811
Bulgaria,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",373.3461971,340.9676577,407.3465304
Norway,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",468.5514382,418.0648726,524.1121848
Sweden,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",493.8651587,439.6350022,550.3128575
Lithuania,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",340.1199945,307.3757605,379.8704818
Latvia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",393.1886152,353.0294303,439.7439176
Ireland,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",468.0341413,422.3943082,514.6723375
Iceland,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",435.9305977,391.2137885,481.8086405
United Kingdom,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",402.5717087,365.9997619,445.24225
Finland,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",516.6500749,464.8113179,573.6702883
Estonia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",405.2994172,362.4385372,449.812482
Denmark,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",652.5767563,592.7615381,717.6725339
Macedonia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",475.7110286,429.1728925,525.7601656
Montenegro,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",468.5447939,421.0749487,518.3806071
Croatia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",447.5199358,405.7543571,492.8407531
Malta,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",718.5444639,646.2353038,794.2938928
Slovenia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",377.9061229,339.5758743,421.317457
Greece,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",382.8397157,343.5272074,425.5171417
Italy,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",477.5505869,434.0918886,527.3444339
Portugal,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",667.2827821,606.8466741,735.0236006
Serbia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",486.3950288,441.3945395,535.8876702
Spain,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",406.8449118,369.8055298,451.0319315
Bosnia and Herzegovina,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",561.0193136,503.4970185,621.0756875
Andorra,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",383.2488401,338.5396806,432.3741391
Albania,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",257.5794054,227.926232,288.2279295
Netherlands,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",511.4739686,462.1149923,565.6001018
Luxembourg,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",538.3520765,483.8608618,601.004709
France,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",325.9658947,292.9944759,363.6876776
Germany,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",438.5141325,395.6988631,489.9013527
Switzerland,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",458.7496632,417.2050072,506.1244361
Belgium,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",438.0833067,395.9577988,485.3440865
Austria,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",420.5923361,383.7690849,463.643896
New Zealand,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",290.7136267,263.2121111,320.907183
Australia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",276.093247,247.6232576,303.7782559
Papua New Guinea,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",541.3709572,491.0898407,601.1273381
Vanuatu,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",548.5918327,502.6030529,600.5710401
Solomon Islands,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",549.2450118,504.3996809,602.9602736
Fiji,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",984.5170752,922.3580003,1050.221791
Guam,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",565.7156828,514.0202346,623.9125966
Northern Mariana Islands,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",704.7525348,629.4618548,790.8821935
Marshall Islands,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",784.0885767,719.5997536,859.9656421
Federated States of Micronesia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",797.6418113,738.7452878,868.2010401
Kiribati,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",891.3069907,828.327341,956.6487847
Samoa,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",521.1929642,477.3831241,569.6032249
Tonga,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",668.8823974,619.2979631,724.7276049
American Samoa,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",848.7411163,781.98637,920.9864362
Canada,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",358.1809418,319.9197529,397.1771538
Egypt,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",366.5141779,333.0383805,403.6649927
Sudan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",236.108648,215.0449189,262.2843908
India,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",263.5946139,239.8769671,289.6777558
Pakistan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",288.027955,263.1048248,316.8707017
China,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",236.3311659,214.1920578,264.4910925
,,,,,,,,
"Global Burden of Disease Study 2017. Global Burden of Disease Study 2017 (GBD 2017) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2018.",,,,,,,,
Available from http://vizhub.healthdata.org/gbd-compare/,,,,,,,,
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,
