Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,1992,All ages,Both,Diabetes mellitus,"Deaths per 100,000",11.67471115,11.96191691,11.39310122
Global,1993,All ages,Both,Diabetes mellitus,"Deaths per 100,000",11.95895727,12.23389493,11.67500051
Global,1994,All ages,Both,Diabetes mellitus,"Deaths per 100,000",12.19772797,12.47257366,11.9216915
Global,1995,All ages,Both,Diabetes mellitus,"Deaths per 100,000",12.44868722,12.71360141,12.17712209
Global,1996,All ages,Both,Diabetes mellitus,"Deaths per 100,000",12.7126352,12.97659543,12.44468721
Global,1997,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.01831313,13.2886262,12.73977401
Global,1998,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.2770208,13.55894165,12.98801655
Global,1999,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.51687353,13.80015716,13.21535585
Global,2000,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.75740666,14.05312825,13.4523194
Global,2001,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.99122463,14.27336894,13.68439839
Global,2002,All ages,Both,Diabetes mellitus,"Deaths per 100,000",14.31021972,14.5864677,14.01123232
Global,2003,All ages,Both,Diabetes mellitus,"Deaths per 100,000",14.59683638,14.86651662,14.30011451
Global,2004,All ages,Both,Diabetes mellitus,"Deaths per 100,000",14.66654028,14.93727486,14.39048799
Global,2005,All ages,Both,Diabetes mellitus,"Deaths per 100,000",14.90201443,15.16537299,14.62215332
Global,2006,All ages,Both,Diabetes mellitus,"Deaths per 100,000",14.93551288,15.20062438,14.66964799
Global,2007,All ages,Both,Diabetes mellitus,"Deaths per 100,000",15.02177255,15.2902748,14.75109384
Global,2008,All ages,Both,Diabetes mellitus,"Deaths per 100,000",15.24632099,15.51628348,14.97579905
Global,2009,All ages,Both,Diabetes mellitus,"Deaths per 100,000",15.40768977,15.68191171,15.1381277
Global,2010,All ages,Both,Diabetes mellitus,"Deaths per 100,000",15.58955365,15.87326696,15.32984253
Global,2011,All ages,Both,Diabetes mellitus,"Deaths per 100,000",15.87037877,16.15674882,15.6069333
Global,2012,All ages,Both,Diabetes mellitus,"Deaths per 100,000",16.21186663,16.51055802,15.94506951
Global,2013,All ages,Both,Diabetes mellitus,"Deaths per 100,000",16.48133265,16.80148237,16.20758898
Global,2014,All ages,Both,Diabetes mellitus,"Deaths per 100,000",16.91370979,17.24127043,16.6144975
Global,2015,All ages,Both,Diabetes mellitus,"Deaths per 100,000",17.39892047,17.73926084,17.06797742
Global,2016,All ages,Both,Diabetes mellitus,"Deaths per 100,000",17.8228687,18.18003283,17.47593424
Global,2017,All ages,Both,Diabetes mellitus,"Deaths per 100,000",17.92886661,18.34892714,17.54195233
,,,,,,,,
"Global Burden of Disease Study 2017. Global Burden of Disease Study 2017 (GBD 2017) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2018.",,,,,,,,
Available from http://vizhub.healthdata.org/gbd-compare/,,,,,,,,
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,
