Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
American Samoa,1990 - 2017,All ages,Both,Tetanus,DALYs annual % change,-0.005834867,,
American Samoa,2017,All ages,Both,Measles,Percent of total DALYs,0.002415861,0.000793183,0.005779681
American Samoa,1990 - 2017,All ages,Both,Measles,DALYs annual % change,-0.034064889,,
American Samoa,2017,All ages,Both,Varicella and herpes zoster,Percent of total DALYs,0.000303335,0.000224645,0.000416255
American Samoa,1990 - 2017,All ages,Both,Varicella and herpes zoster,DALYs annual % change,-0.023430145,,
American Samoa,2017,All ages,Both,Malaria,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Malaria,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Chagas disease,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Chagas disease,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Visceral leishmaniasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Visceral leishmaniasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,African trypanosomiasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Schistosomiasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Schistosomiasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Cysticercosis,Percent of total DALYs,0.000672539,0.000383196,0.001050774
American Samoa,1990 - 2017,All ages,Both,Cysticercosis,DALYs annual % change,0.004006375,,
American Samoa,2017,All ages,Both,Cystic echinococcosis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Cystic echinococcosis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Lymphatic filariasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Onchocerciasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Onchocerciasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Trachoma,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Trachoma,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Dengue,Percent of total DALYs,0.00212683,0.00133437,0.003070163
American Samoa,1990 - 2017,All ages,Both,Dengue,DALYs annual % change,0.030522861,,
American Samoa,2017,All ages,Both,Yellow fever,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Yellow fever,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Rabies,Percent of total DALYs,1.05465E-05,7.18758E-06,1.57486E-05
American Samoa,1990 - 2017,All ages,Both,Rabies,DALYs annual % change,-0.006106993,,
American Samoa,2017,All ages,Both,Ascariasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Ascariasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Trichuriasis,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Trichuriasis,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Hookworm disease,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Hookworm disease,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Food-borne trematodiases,Percent of total DALYs,0,0,0
American Samoa,1990 - 2017,All ages,Both,Food-borne trematodiases,DALYs annual % change,0,,
American Samoa,2017,All ages,Both,Other neglected tropical diseases,Percent of total DALYs,0.00014403,0.00010086,0.000231595
American Samoa,1990 - 2017,All ages,Both,Other neglected tropical diseases,DALYs annual % change,-0.001805229,,
American Samoa,2017,All ages,Both,Maternal hemorrhage,Percent of total DALYs,0.000147426,0.000101366,0.000216922
American Samoa,1990 - 2017,All ages,Both,Maternal hemorrhage,DALYs annual % change,-0.022607245,,
American Samoa,2017,All ages,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0.000308948,0.000237872,0.000393192
American Samoa,1990 - 2017,All ages,Both,Maternal sepsis and other maternal infections,DALYs annual % change,-0.026993705,,
American Samoa,2017,All ages,Both,Maternal hypertensive disorders,Percent of total DALYs,0.000407618,0.000184158,0.000773998
American Samoa,1990 - 2017,All ages,Both,Maternal hypertensive disorders,DALYs annual % change,0.046308929,,
American Samoa,2017,All ages,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,4.16243E-05,2.97476E-05,5.65419E-05
American Samoa,1990 - 2017,All ages,Both,Maternal obstructed labor and uterine rupture,DALYs annual % change,-0.008844502,,
American Samoa,2017,All ages,Both,Ectopic pregnancy,Percent of total DALYs,0.000183168,0.000120022,0.000265004
American Samoa,1990 - 2017,All ages,Both,Ectopic pregnancy,DALYs annual % change,0.013134498,,
American Samoa,2017,All ages,Both,Indirect maternal deaths,Percent of total DALYs,0.000791607,0.000415679,0.001253728
American Samoa,1990 - 2017,All ages,Both,Indirect maternal deaths,DALYs annual % change,-0.009767342,,
American Samoa,2017,All ages,Both,Late maternal deaths,Percent of total DALYs,7.16678E-05,5.02337E-05,0.000101084
American Samoa,1990 - 2017,All ages,Both,Late maternal deaths,DALYs annual % change,0.020483937,,
American Samoa,2017,All ages,Both,Other maternal disorders,Percent of total DALYs,0.001927691,0.001416153,0.002494602
American Samoa,1990 - 2017,All ages,Both,Other maternal disorders,DALYs annual % change,0.038008538,,
American Samoa,2017,All ages,Both,Neonatal preterm birth,Percent of total DALYs,0.016241084,0.013036961,0.020137854
American Samoa,1990 - 2017,All ages,Both,Neonatal preterm birth,DALYs annual % change,-0.03637214,,
American Samoa,2017,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.009601941,0.007338956,0.012417789
American Samoa,1990 - 2017,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,DALYs annual % change,-0.037471737,,
American Samoa,2017,All ages,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.002295794,0.001488163,0.003519524
American Samoa,1990 - 2017,All ages,Both,Neonatal sepsis and other neonatal infections,DALYs annual % change,-0.03147482,,
American Samoa,2017,All ages,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,0.000139457,0.000107888,0.000173338
American Samoa,1990 - 2017,All ages,Both,Hemolytic disease and other neonatal jaundice,DALYs annual % change,-0.009183652,,
American Samoa,2017,All ages,Both,Other neonatal disorders,Percent of total DALYs,0.006350107,0.004448557,0.008665565
American Samoa,1990 - 2017,All ages,Both,Other neonatal disorders,DALYs annual % change,-0.019468628,,
American Samoa,2017,All ages,Both,Protein-energy malnutrition,Percent of total DALYs,0.002983308,0.002336246,0.003784024
American Samoa,1990 - 2017,All ages,Both,Protein-energy malnutrition,DALYs annual % change,-0.03303908,,
American Samoa,2017,All ages,Both,Iodine deficiency,Percent of total DALYs,5.16215E-05,2.71405E-05,7.61306E-05
American Samoa,1990 - 2017,All ages,Both,Iodine deficiency,DALYs annual % change,0.008931918,,
American Samoa,2017,All ages,Both,Vitamin A deficiency,Percent of total DALYs,0.003178488,0.00133816,0.005962529
American Samoa,1990 - 2017,All ages,Both,Vitamin A deficiency,DALYs annual % change,-0.028516906,,
American Samoa,2017,All ages,Both,Dietary iron deficiency,Percent of total DALYs,0.010502833,0.006081645,0.016667054
American Samoa,1990 - 2017,All ages,Both,Dietary iron deficiency,DALYs annual % change,-0.016587647,,
American Samoa,2017,All ages,Both,Other nutritional deficiencies,Percent of total DALYs,0.000202795,0.00014991,0.000281974
American Samoa,1990 - 2017,All ages,Both,Other nutritional deficiencies,DALYs annual % change,-0.008938082,,
American Samoa,2017,All ages,Both,Syphilis,Percent of total DALYs,0.002286429,0.000758282,0.005893977
American Samoa,1990 - 2017,All ages,Both,Syphilis,DALYs annual % change,-0.052977323,,
American Samoa,2017,All ages,Both,Chlamydial infection,Percent of total DALYs,0.000125569,7.39603E-05,0.000213037
American Samoa,1990 - 2017,All ages,Both,Chlamydial infection,DALYs annual % change,-0.003232729,,
American Samoa,2017,All ages,Both,Gonococcal infection,Percent of total DALYs,9.09873E-05,6.37068E-05,0.000140326
American Samoa,1990 - 2017,All ages,Both,Gonococcal infection,DALYs annual % change,-0.009886267,,
American Samoa,2017,All ages,Both,Trichomoniasis,Percent of total DALYs,0.000155727,6.45426E-05,0.000308564
American Samoa,1990 - 2017,All ages,Both,Trichomoniasis,DALYs annual % change,0.001452331,,
American Samoa,2017,All ages,Both,Genital herpes,Percent of total DALYs,0.000138767,4.53185E-05,0.00031252
American Samoa,1990 - 2017,All ages,Both,Genital herpes,DALYs annual % change,0.005587725,,
American Samoa,2017,All ages,Both,Other sexually transmitted infections,Percent of total DALYs,0.000152027,0.000102877,0.000231971
American Samoa,1990 - 2017,All ages,Both,Other sexually transmitted infections,DALYs annual % change,-0.002807542,,
American Samoa,2017,All ages,Both,Acute hepatitis A,Percent of total DALYs,0.000164773,0.000126177,0.000213783
American Samoa,1990 - 2017,All ages,Both,Acute hepatitis A,DALYs annual % change,-0.007170062,,
American Samoa,2017,All ages,Both,Acute hepatitis B,Percent of total DALYs,0.000272867,0.000222607,0.000335879
American Samoa,1990 - 2017,All ages,Both,Acute hepatitis B,DALYs annual % change,-0.005196595,,
American Samoa,2017,All ages,Both,Acute hepatitis C,Percent of total DALYs,3.80813E-06,2.12316E-06,6.6539E-06
American Samoa,1990 - 2017,All ages,Both,Acute hepatitis C,DALYs annual % change,-0.024548927,,
American Samoa,2017,All ages,Both,Acute hepatitis E,Percent of total DALYs,2.71529E-05,2.01059E-05,3.59841E-05
American Samoa,1990 - 2017,All ages,Both,Acute hepatitis E,DALYs annual % change,-0.012698583,,
American Samoa,2017,All ages,Both,Leprosy,Percent of total DALYs,1.19136E-05,8.12807E-06,1.60462E-05
American Samoa,1990 - 2017,All ages,Both,Leprosy,DALYs annual % change,0.006781316,,
American Samoa,2017,All ages,Both,Other unspecified infectious diseases,Percent of total DALYs,0.003285581,0.00243336,0.003825875
American Samoa,1990 - 2017,All ages,Both,Other unspecified infectious diseases,DALYs annual % change,0.01624348,,
American Samoa,2017,All ages,Both,Esophageal cancer,Percent of total DALYs,0.000878522,0.000744193,0.001031408
American Samoa,1990 - 2017,All ages,Both,Esophageal cancer,DALYs annual % change,0.021406474,,
American Samoa,2017,All ages,Both,Stomach cancer,Percent of total DALYs,0.008220773,0.00716102,0.009334913
American Samoa,1990 - 2017,All ages,Both,Stomach cancer,DALYs annual % change,0.00495288,,
American Samoa,2017,All ages,Both,Liver cancer due to hepatitis B,Percent of total DALYs,0.003965566,0.003312634,0.004670819
American Samoa,1990 - 2017,All ages,Both,Liver cancer due to hepatitis B,DALYs annual % change,0.023325507,,
American Samoa,2017,All ages,Both,Liver cancer due to hepatitis C,Percent of total DALYs,0.001396857,0.001155866,0.001653838
American Samoa,1990 - 2017,All ages,Both,Liver cancer due to hepatitis C,DALYs annual % change,0.026564586,,
American Samoa,2017,All ages,Both,Liver cancer due to alcohol use,Percent of total DALYs,0.00106171,0.000810498,0.001352507
American Samoa,1990 - 2017,All ages,Both,Liver cancer due to alcohol use,DALYs annual % change,0.02439605,,
American Samoa,2017,All ages,Both,Liver cancer due to other causes,Percent of total DALYs,0.000575069,0.000473745,0.000686833
American Samoa,1990 - 2017,All ages,Both,Liver cancer due to other causes,DALYs annual % change,0.024770734,,
American Samoa,2017,All ages,Both,Larynx cancer,Percent of total DALYs,0.000776298,0.000665146,0.000906883
American Samoa,1990 - 2017,All ages,Both,Larynx cancer,DALYs annual % change,0.008832444,,
American Samoa,2017,All ages,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0.016281876,0.013890695,0.018852595
American Samoa,1990 - 2017,All ages,Both,"Tracheal, bronchus, and lung cancer",DALYs annual % change,0.014124311,,
American Samoa,2017,All ages,Both,Breast cancer,Percent of total DALYs,0.01273339,0.010641913,0.014965494
American Samoa,1990 - 2017,All ages,Both,Breast cancer,DALYs annual % change,0.031525573,,
American Samoa,2017,All ages,Both,Cervical cancer,Percent of total DALYs,0.003396463,0.002777624,0.004110975
American Samoa,1990 - 2017,All ages,Both,Cervical cancer,DALYs annual % change,0.014668026,,
American Samoa,2017,All ages,Both,Uterine cancer,Percent of total DALYs,0.004274533,0.003548108,0.00503889
American Samoa,1990 - 2017,All ages,Both,Uterine cancer,DALYs annual % change,0.032938163,,
American Samoa,2017,All ages,Both,Prostate cancer,Percent of total DALYs,0.006558639,0.005007085,0.008086525
American Samoa,1990 - 2017,All ages,Both,Prostate cancer,DALYs annual % change,0.01412846,,
American Samoa,2017,All ages,Both,Colon and rectum cancer,Percent of total DALYs,0.007782383,0.006749116,0.008898165
American Samoa,1990 - 2017,All ages,Both,Colon and rectum cancer,DALYs annual % change,0.014532041,,
American Samoa,2017,All ages,Both,Lip and oral cavity cancer,Percent of total DALYs,0.001221335,0.00106552,0.001409161
American Samoa,1990 - 2017,All ages,Both,Lip and oral cavity cancer,DALYs annual % change,0.02365633,,
American Samoa,2017,All ages,Both,Nasopharynx cancer,Percent of total DALYs,0.001429797,0.001199145,0.001698674
American Samoa,1990 - 2017,All ages,Both,Nasopharynx cancer,DALYs annual % change,0.016883175,,
American Samoa,2017,All ages,Both,Other pharynx cancer,Percent of total DALYs,0.001599659,0.001336487,0.001858818
American Samoa,1990 - 2017,All ages,Both,Other pharynx cancer,DALYs annual % change,0.027020283,,
American Samoa,2017,All ages,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0.000669532,0.000558168,0.000836504
American Samoa,1990 - 2017,All ages,Both,Gallbladder and biliary tract cancer,DALYs annual % change,0.007695736,,
American Samoa,2017,All ages,Both,Pancreatic cancer,Percent of total DALYs,0.003542501,0.003004614,0.004077567
American Samoa,1990 - 2017,All ages,Both,Pancreatic cancer,DALYs annual % change,0.029802466,,
American Samoa,2017,All ages,Both,Malignant skin melanoma,Percent of total DALYs,0.000614967,0.000440313,0.000787755
American Samoa,1990 - 2017,All ages,Both,Malignant skin melanoma,DALYs annual % change,0.015582153,,
American Samoa,2017,All ages,Both,Ovarian cancer,Percent of total DALYs,0.005825539,0.004850255,0.006976339
American Samoa,1990 - 2017,All ages,Both,Ovarian cancer,DALYs annual % change,0.039209589,,
American Samoa,2017,All ages,Both,Testicular cancer,Percent of total DALYs,3.57076E-05,2.97385E-05,4.29532E-05
American Samoa,1990 - 2017,All ages,Both,Testicular cancer,DALYs annual % change,0.032400436,,
American Samoa,2017,All ages,Both,Kidney cancer,Percent of total DALYs,0.000744118,0.00062951,0.000880722
American Samoa,1990 - 2017,All ages,Both,Kidney cancer,DALYs annual % change,0.013054436,,
American Samoa,2017,All ages,Both,Bladder cancer,Percent of total DALYs,0.001337932,0.001129855,0.001538044
American Samoa,1990 - 2017,All ages,Both,Bladder cancer,DALYs annual % change,0.027662869,,
American Samoa,2017,All ages,Both,Brain and nervous system cancer,Percent of total DALYs,0.002348183,0.001877809,0.002751319
American Samoa,1990 - 2017,All ages,Both,Brain and nervous system cancer,DALYs annual % change,0.01069274,,
American Samoa,2017,All ages,Both,Thyroid cancer,Percent of total DALYs,0.000578788,0.000501678,0.000671991
American Samoa,1990 - 2017,All ages,Both,Thyroid cancer,DALYs annual % change,0.01666419,,
American Samoa,2017,All ages,Both,Mesothelioma,Percent of total DALYs,0.00031125,0.000263938,0.000363045
American Samoa,1990 - 2017,All ages,Both,Mesothelioma,DALYs annual % change,0.026390241,,
American Samoa,2017,All ages,Both,Hodgkin lymphoma,Percent of total DALYs,0.000157179,0.000128317,0.000205969
American Samoa,1990 - 2017,All ages,Both,Hodgkin lymphoma,DALYs annual % change,-0.000788104,,
American Samoa,2017,All ages,Both,Non-Hodgkin lymphoma,Percent of total DALYs,0.002381437,0.002093648,0.002688404
American Samoa,1990 - 2017,All ages,Both,Non-Hodgkin lymphoma,DALYs annual % change,0.015479814,,
American Samoa,2017,All ages,Both,Multiple myeloma,Percent of total DALYs,0.001542522,0.001279861,0.001820966
American Samoa,1990 - 2017,All ages,Both,Multiple myeloma,DALYs annual % change,0.027956383,,
American Samoa,2017,All ages,Both,Other malignant neoplasms,Percent of total DALYs,0.006692818,0.005816904,0.007663672
American Samoa,1990 - 2017,All ages,Both,Other malignant neoplasms,DALYs annual % change,0.010967182,,
American Samoa,2017,All ages,Both,Rheumatic heart disease,Percent of total DALYs,0.007867343,0.00715382,0.008595835
American Samoa,1990 - 2017,All ages,Both,Rheumatic heart disease,DALYs annual % change,-0.002260774,,
American Samoa,2017,All ages,Both,Ischemic heart disease,Percent of total DALYs,0.0821752,0.072578216,0.093041463
American Samoa,1990 - 2017,All ages,Both,Ischemic heart disease,DALYs annual % change,0.013944854,,
American Samoa,2017,All ages,Both,Ischemic stroke,Percent of total DALYs,0.014204817,0.012746488,0.015631289
American Samoa,1990 - 2017,All ages,Both,Ischemic stroke,DALYs annual % change,0.007759493,,
American Samoa,2017,All ages,Both,Intracerebral hemorrhage,Percent of total DALYs,0.034796475,0.030861795,0.03888844
American Samoa,1990 - 2017,All ages,Both,Intracerebral hemorrhage,DALYs annual % change,0.002898891,,
American Samoa,2017,All ages,Both,Subarachnoid hemorrhage,Percent of total DALYs,0.006241914,0.005460018,0.007304707
American Samoa,1990 - 2017,All ages,Both,Subarachnoid hemorrhage,DALYs annual % change,-0.001341759,,
American Samoa,2017,All ages,Both,Hypertensive heart disease,Percent of total DALYs,0.007562288,0.006480091,0.009019826
American Samoa,1990 - 2017,All ages,Both,Hypertensive heart disease,DALYs annual % change,-0.000652151,,
American Samoa,2017,All ages,Both,Atrial fibrillation and flutter,Percent of total DALYs,0.002586926,0.001927885,0.003520573
American Samoa,1990 - 2017,All ages,Both,Atrial fibrillation and flutter,DALYs annual % change,0.019482168,,
American Samoa,2017,All ages,Both,Aortic aneurysm,Percent of total DALYs,0.001212915,0.001018609,0.001479587
American Samoa,1990 - 2017,All ages,Both,Aortic aneurysm,DALYs annual % change,-0.001825146,,
American Samoa,2017,All ages,Both,Peripheral artery disease,Percent of total DALYs,0.00053693,0.000368982,0.000749614
American Samoa,1990 - 2017,All ages,Both,Peripheral artery disease,DALYs annual % change,0.029595145,,
American Samoa,2017,All ages,Both,Endocarditis,Percent of total DALYs,0.003823622,0.003294462,0.004388302
American Samoa,1990 - 2017,All ages,Both,Endocarditis,DALYs annual % change,0.027541058,,
American Samoa,2017,All ages,Both,Other cardiovascular and circulatory diseases,Percent of total DALYs,0.007513954,0.006849317,0.008422715
American Samoa,1990 - 2017,All ages,Both,Other cardiovascular and circulatory diseases,DALYs annual % change,0.004659736,,
American Samoa,2017,All ages,Both,Chronic obstructive pulmonary disease,Percent of total DALYs,0.03048117,0.02697864,0.034381577
American Samoa,1990 - 2017,All ages,Both,Chronic obstructive pulmonary disease,DALYs annual % change,0.006261917,,
American Samoa,2017,All ages,Both,Silicosis,Percent of total DALYs,1.15515E-05,7.81484E-06,1.65143E-05
American Samoa,1990 - 2017,All ages,Both,Silicosis,DALYs annual % change,0.013531819,,
American Samoa,2017,All ages,Both,Asbestosis,Percent of total DALYs,2.54869E-05,1.7064E-05,3.93399E-05
American Samoa,1990 - 2017,All ages,Both,Asbestosis,DALYs annual % change,0.025509794,,
American Samoa,2017,All ages,Both,Coal workers pneumoconiosis,Percent of total DALYs,6.48E-07,4.05E-07,1.09971E-06
American Samoa,1990 - 2017,All ages,Both,Coal workers pneumoconiosis,DALYs annual % change,0.003613994,,
American Samoa,2017,All ages,Both,Other pneumoconiosis,Percent of total DALYs,6.0477E-05,4.58753E-05,7.64558E-05
American Samoa,1990 - 2017,All ages,Both,Other pneumoconiosis,DALYs annual % change,0.046109126,,
American Samoa,2017,All ages,Both,Asthma,Percent of total DALYs,0.018289704,0.014143817,0.023363776
American Samoa,1990 - 2017,All ages,Both,Asthma,DALYs annual % change,-0.000531479,,
American Samoa,2017,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total DALYs,0.001284747,0.001086996,0.00151954
American Samoa,1990 - 2017,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,DALYs annual % change,0.002651406,,
American Samoa,2017,All ages,Both,Other chronic respiratory diseases,Percent of total DALYs,0.004595475,0.0039971,0.005308246
American Samoa,1990 - 2017,All ages,Both,Other chronic respiratory diseases,DALYs annual % change,0.002495282,,
American Samoa,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,Percent of total DALYs,0.005419529,0.004626381,0.006322446
American Samoa,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,DALYs annual % change,0.002217475,,
American Samoa,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,Percent of total DALYs,0.002774934,0.002326093,0.003275441
American Samoa,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,DALYs annual % change,0.006021434,,
American Samoa,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,Percent of total DALYs,0.001808995,0.00147324,0.002205691
American Samoa,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,DALYs annual % change,0.005999606,,
American Samoa,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,Percent of total DALYs,0.001192871,0.000991232,0.001437544
American Samoa,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,DALYs annual % change,-0.006968987,,
American Samoa,2017,All ages,Both,Peptic ulcer disease,Percent of total DALYs,0.002492528,0.002150747,0.0028694
American Samoa,1990 - 2017,All ages,Both,Peptic ulcer disease,DALYs annual % change,-0.009428402,,
American Samoa,2017,All ages,Both,Gastritis and duodenitis,Percent of total DALYs,0.001328099,0.000931033,0.001823098
American Samoa,1990 - 2017,All ages,Both,Gastritis and duodenitis,DALYs annual % change,0.004791654,,
American Samoa,2017,All ages,Both,Appendicitis,Percent of total DALYs,0.001296615,0.001044372,0.001532022
American Samoa,1990 - 2017,All ages,Both,Appendicitis,DALYs annual % change,0.016203513,,
American Samoa,2017,All ages,Both,Paralytic ileus and intestinal obstruction,Percent of total DALYs,0.000891222,0.00072513,0.001060958
American Samoa,1990 - 2017,All ages,Both,Paralytic ileus and intestinal obstruction,DALYs annual % change,-0.013879222,,
American Samoa,2017,All ages,Both,"Inguinal, femoral, and abdominal hernia",Percent of total DALYs,0.000939881,0.000777624,0.001116705
American Samoa,1990 - 2017,All ages,Both,"Inguinal, femoral, and abdominal hernia",DALYs annual % change,0.008333644,,
American Samoa,2017,All ages,Both,Inflammatory bowel disease,Percent of total DALYs,0.000551429,0.000463092,0.000737052
American Samoa,1990 - 2017,All ages,Both,Inflammatory bowel disease,DALYs annual % change,-0.026849898,,
American Samoa,2017,All ages,Both,Vascular intestinal disorders,Percent of total DALYs,0.000380773,0.000302047,0.000466661
American Samoa,1990 - 2017,All ages,Both,Vascular intestinal disorders,DALYs annual % change,0.023998807,,
American Samoa,2017,All ages,Both,Gallbladder and biliary diseases,Percent of total DALYs,0.001717447,0.001441399,0.002048412
American Samoa,1990 - 2017,All ages,Both,Gallbladder and biliary diseases,DALYs annual % change,0.000230552,,
American Samoa,2017,All ages,Both,Pancreatitis,Percent of total DALYs,0.001549131,0.001198759,0.001861233
American Samoa,1990 - 2017,All ages,Both,Pancreatitis,DALYs annual % change,0.012435885,,
American Samoa,2017,All ages,Both,Gastroesophageal reflux disease,Percent of total DALYs,0.002065963,0.001155859,0.003318485
American Samoa,1990 - 2017,All ages,Both,Gastroesophageal reflux disease,DALYs annual % change,0.005671347,,
American Samoa,2017,All ages,Both,Other digestive diseases,Percent of total DALYs,0.002191587,0.001908788,0.002540952
American Samoa,1990 - 2017,All ages,Both,Other digestive diseases,DALYs annual % change,0.020424374,,
American Samoa,2017,All ages,Both,Alzheimer's disease and other dementias,Percent of total DALYs,0.007858703,0.007200716,0.00847197
American Samoa,1990 - 2017,All ages,Both,Alzheimer's disease and other dementias,DALYs annual % change,0.016549423,,
American Samoa,2017,All ages,Both,Parkinson's disease,Percent of total DALYs,0.001770203,0.001571713,0.002040043
American Samoa,1990 - 2017,All ages,Both,Parkinson's disease,DALYs annual % change,0.006371582,,
American Samoa,2017,All ages,Both,Epilepsy,Percent of total DALYs,0.00612723,0.003260597,0.010219355
American Samoa,1990 - 2017,All ages,Both,Epilepsy,DALYs annual % change,0.005763374,,
