Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
United States,2017,All ages,Both,Hookworm disease,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Hookworm disease,DALYs annual % change,0,,
United States,2017,All ages,Both,Food-borne trematodiases,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Food-borne trematodiases,DALYs annual % change,0,,
United States,2017,All ages,Both,Other neglected tropical diseases,Percent of total DALYs,4.7412E-05,1.67607E-05,6.17694E-05
United States,1990 - 2017,All ages,Both,Other neglected tropical diseases,DALYs annual % change,0.027507633,,
United States,2017,All ages,Both,Maternal hemorrhage,Percent of total DALYs,5.59279E-05,4.00906E-05,7.95989E-05
United States,1990 - 2017,All ages,Both,Maternal hemorrhage,DALYs annual % change,-0.009420562,,
United States,2017,All ages,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,7.29187E-05,4.71424E-05,0.000107546
United States,1990 - 2017,All ages,Both,Maternal sepsis and other maternal infections,DALYs annual % change,-0.002915727,,
United States,2017,All ages,Both,Maternal hypertensive disorders,Percent of total DALYs,0.000103919,7.22248E-05,0.000140474
United States,1990 - 2017,All ages,Both,Maternal hypertensive disorders,DALYs annual % change,0.000399344,,
United States,2017,All ages,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,1.47119E-05,1.05109E-05,1.9923E-05
United States,1990 - 2017,All ages,Both,Maternal obstructed labor and uterine rupture,DALYs annual % change,0.001117079,,
United States,2017,All ages,Both,Ectopic pregnancy,Percent of total DALYs,1.33558E-05,7.49119E-06,2.2493E-05
United States,1990 - 2017,All ages,Both,Ectopic pregnancy,DALYs annual % change,-0.030227597,,
United States,2017,All ages,Both,Indirect maternal deaths,Percent of total DALYs,9.64841E-05,4.95241E-05,0.000167746
United States,1990 - 2017,All ages,Both,Indirect maternal deaths,DALYs annual % change,0.041363261,,
United States,2017,All ages,Both,Late maternal deaths,Percent of total DALYs,0.000109113,7.3244E-05,0.000156685
United States,1990 - 2017,All ages,Both,Late maternal deaths,DALYs annual % change,0.019553992,,
United States,2017,All ages,Both,Other maternal disorders,Percent of total DALYs,0.00023156,0.000173355,0.000291987
United States,1990 - 2017,All ages,Both,Other maternal disorders,DALYs annual % change,0.023493817,,
United States,2017,All ages,Both,Neonatal preterm birth,Percent of total DALYs,0.011528933,0.00948949,0.013936404
United States,1990 - 2017,All ages,Both,Neonatal preterm birth,DALYs annual % change,-0.017242208,,
United States,2017,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.002894846,0.002226708,0.003853872
United States,1990 - 2017,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,DALYs annual % change,-0.015417666,,
United States,2017,All ages,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.001640783,0.001134963,0.002352135
United States,1990 - 2017,All ages,Both,Neonatal sepsis and other neonatal infections,DALYs annual % change,-0.006997643,,
United States,2017,All ages,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,0.000125249,0.000100455,0.000153085
United States,1990 - 2017,All ages,Both,Hemolytic disease and other neonatal jaundice,DALYs annual % change,-0.00658347,,
United States,2017,All ages,Both,Other neonatal disorders,Percent of total DALYs,0.002311986,0.002002299,0.002676832
United States,1990 - 2017,All ages,Both,Other neonatal disorders,DALYs annual % change,-0.017228652,,
United States,2017,All ages,Both,Protein-energy malnutrition,Percent of total DALYs,0.000535754,0.000410422,0.00062531
United States,1990 - 2017,All ages,Both,Protein-energy malnutrition,DALYs annual % change,0.021053069,,
United States,2017,All ages,Both,Iodine deficiency,Percent of total DALYs,0.00018713,9.36042E-05,0.00033715
United States,1990 - 2017,All ages,Both,Iodine deficiency,DALYs annual % change,-0.002513253,,
United States,2017,All ages,Both,Vitamin A deficiency,Percent of total DALYs,0.000117111,5.76349E-05,0.000208604
United States,1990 - 2017,All ages,Both,Vitamin A deficiency,DALYs annual % change,-0.021688393,,
United States,2017,All ages,Both,Dietary iron deficiency,Percent of total DALYs,0.001904217,0.001205411,0.002804454
United States,1990 - 2017,All ages,Both,Dietary iron deficiency,DALYs annual % change,0.002413722,,
United States,2017,All ages,Both,Other nutritional deficiencies,Percent of total DALYs,9.02993E-05,4.65122E-05,0.000214582
United States,1990 - 2017,All ages,Both,Other nutritional deficiencies,DALYs annual % change,0.005070464,,
United States,2017,All ages,Both,Syphilis,Percent of total DALYs,7.23873E-05,5.451E-05,9.9759E-05
United States,1990 - 2017,All ages,Both,Syphilis,DALYs annual % change,-0.011938174,,
United States,2017,All ages,Both,Chlamydial infection,Percent of total DALYs,0.000106778,6.0923E-05,0.00019252
United States,1990 - 2017,All ages,Both,Chlamydial infection,DALYs annual % change,-0.006554911,,
United States,2017,All ages,Both,Gonococcal infection,Percent of total DALYs,6.05083E-05,4.17414E-05,9.75444E-05
United States,1990 - 2017,All ages,Both,Gonococcal infection,DALYs annual % change,-0.008133317,,
United States,2017,All ages,Both,Trichomoniasis,Percent of total DALYs,0.000121349,4.96559E-05,0.000251665
United States,1990 - 2017,All ages,Both,Trichomoniasis,DALYs annual % change,-0.002888851,,
United States,2017,All ages,Both,Genital herpes,Percent of total DALYs,0.000149617,4.87124E-05,0.000352645
United States,1990 - 2017,All ages,Both,Genital herpes,DALYs annual % change,0.000376227,,
United States,2017,All ages,Both,Other sexually transmitted infections,Percent of total DALYs,0.000123628,8.18211E-05,0.000195617
United States,1990 - 2017,All ages,Both,Other sexually transmitted infections,DALYs annual % change,-0.006488724,,
United States,2017,All ages,Both,Acute hepatitis A,Percent of total DALYs,0.000201534,0.00017008,0.000244169
United States,1990 - 2017,All ages,Both,Acute hepatitis A,DALYs annual % change,-0.023387215,,
United States,2017,All ages,Both,Acute hepatitis B,Percent of total DALYs,0.000155749,0.000116633,0.00020237
United States,1990 - 2017,All ages,Both,Acute hepatitis B,DALYs annual % change,-0.020472352,,
United States,2017,All ages,Both,Acute hepatitis C,Percent of total DALYs,1.08521E-05,5.62905E-06,1.98391E-05
United States,1990 - 2017,All ages,Both,Acute hepatitis C,DALYs annual % change,-0.021930521,,
United States,2017,All ages,Both,Acute hepatitis E,Percent of total DALYs,4.18044E-05,3.1521E-05,5.74505E-05
United States,1990 - 2017,All ages,Both,Acute hepatitis E,DALYs annual % change,-0.030723141,,
United States,2017,All ages,Both,Leprosy,Percent of total DALYs,2.71E-08,1.96E-08,3.68E-08
United States,1990 - 2017,All ages,Both,Leprosy,DALYs annual % change,0.003938706,,
United States,2017,All ages,Both,Other unspecified infectious diseases,Percent of total DALYs,0.001203254,0.001059227,0.001522742
United States,1990 - 2017,All ages,Both,Other unspecified infectious diseases,DALYs annual % change,-0.011261593,,
United States,2017,All ages,Both,Esophageal cancer,Percent of total DALYs,0.004046986,0.003581365,0.004551644
United States,1990 - 2017,All ages,Both,Esophageal cancer,DALYs annual % change,0.008323249,,
United States,2017,All ages,Both,Stomach cancer,Percent of total DALYs,0.003427837,0.003052004,0.003831981
United States,1990 - 2017,All ages,Both,Stomach cancer,DALYs annual % change,-0.010950914,,
United States,2017,All ages,Both,Liver cancer due to hepatitis B,Percent of total DALYs,0.000927753,0.000810015,0.001055259
United States,1990 - 2017,All ages,Both,Liver cancer due to hepatitis B,DALYs annual % change,0.028442836,,
United States,2017,All ages,Both,Liver cancer due to hepatitis C,Percent of total DALYs,0.002410517,0.002123351,0.002726034
United States,1990 - 2017,All ages,Both,Liver cancer due to hepatitis C,DALYs annual % change,0.033100472,,
United States,2017,All ages,Both,Liver cancer due to alcohol use,Percent of total DALYs,0.001477465,0.001283999,0.001676897
United States,1990 - 2017,All ages,Both,Liver cancer due to alcohol use,DALYs annual % change,0.032519261,,
United States,2017,All ages,Both,Liver cancer due to other causes,Percent of total DALYs,0.000583896,0.000497007,0.0006817
United States,1990 - 2017,All ages,Both,Liver cancer due to other causes,DALYs annual % change,0.028883014,,
United States,2017,All ages,Both,Larynx cancer,Percent of total DALYs,0.001208627,0.001087426,0.001338371
United States,1990 - 2017,All ages,Both,Larynx cancer,DALYs annual % change,-0.005259176,,
United States,2017,All ages,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0.037585525,0.033349302,0.042124785
United States,1990 - 2017,All ages,Both,"Tracheal, bronchus, and lung cancer",DALYs annual % change,-0.004940147,,
United States,2017,All ages,Both,Breast cancer,Percent of total DALYs,0.012591579,0.011491051,0.013793434
United States,1990 - 2017,All ages,Both,Breast cancer,DALYs annual % change,-0.007418649,,
United States,2017,All ages,Both,Cervical cancer,Percent of total DALYs,0.002054583,0.001830217,0.002301197
United States,1990 - 2017,All ages,Both,Cervical cancer,DALYs annual % change,-0.003773212,,
United States,2017,All ages,Both,Uterine cancer,Percent of total DALYs,0.002012343,0.001856477,0.002175162
United States,1990 - 2017,All ages,Both,Uterine cancer,DALYs annual % change,0.012479462,,
United States,2017,All ages,Both,Prostate cancer,Percent of total DALYs,0.00683508,0.006015507,0.010248198
United States,1990 - 2017,All ages,Both,Prostate cancer,DALYs annual % change,-0.002903235,,
United States,2017,All ages,Both,Colon and rectum cancer,Percent of total DALYs,0.016086401,0.014460373,0.017792983
United States,1990 - 2017,All ages,Both,Colon and rectum cancer,DALYs annual % change,-0.003318401,,
United States,2017,All ages,Both,Lip and oral cavity cancer,Percent of total DALYs,0.001606653,0.001441354,0.001776946
United States,1990 - 2017,All ages,Both,Lip and oral cavity cancer,DALYs annual % change,-0.00346323,,
United States,2017,All ages,Both,Nasopharynx cancer,Percent of total DALYs,0.000318792,0.000284071,0.000357832
United States,1990 - 2017,All ages,Both,Nasopharynx cancer,DALYs annual % change,-0.006091341,,
United States,2017,All ages,Both,Other pharynx cancer,Percent of total DALYs,0.000904191,0.000808145,0.001008479
United States,1990 - 2017,All ages,Both,Other pharynx cancer,DALYs annual % change,0.003530702,,
United States,2017,All ages,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0.00085348,0.000754707,0.000975242
United States,1990 - 2017,All ages,Both,Gallbladder and biliary tract cancer,DALYs annual % change,-0.006204841,,
United States,2017,All ages,Both,Pancreatic cancer,Percent of total DALYs,0.009360842,0.008265434,0.010541273
United States,1990 - 2017,All ages,Both,Pancreatic cancer,DALYs annual % change,0.010668296,,
United States,2017,All ages,Both,Malignant skin melanoma,Percent of total DALYs,0.002800658,0.002241866,0.003913137
United States,1990 - 2017,All ages,Both,Malignant skin melanoma,DALYs annual % change,0.005204121,,
United States,2017,All ages,Both,Ovarian cancer,Percent of total DALYs,0.003596076,0.00314885,0.004063862
United States,1990 - 2017,All ages,Both,Ovarian cancer,DALYs annual % change,-0.00139046,,
United States,2017,All ages,Both,Testicular cancer,Percent of total DALYs,0.00024603,0.000223807,0.000270049
United States,1990 - 2017,All ages,Both,Testicular cancer,DALYs annual % change,-0.004801655,,
United States,2017,All ages,Both,Kidney cancer,Percent of total DALYs,0.003672338,0.003240751,0.004155823
United States,1990 - 2017,All ages,Both,Kidney cancer,DALYs annual % change,0.005862236,,
United States,2017,All ages,Both,Bladder cancer,Percent of total DALYs,0.003196853,0.002895065,0.003523807
United States,1990 - 2017,All ages,Both,Bladder cancer,DALYs annual % change,0.006521471,,
United States,2017,All ages,Both,Brain and nervous system cancer,Percent of total DALYs,0.004892962,0.004234788,0.005699784
United States,1990 - 2017,All ages,Both,Brain and nervous system cancer,DALYs annual % change,0.002400646,,
United States,2017,All ages,Both,Thyroid cancer,Percent of total DALYs,0.000547885,0.000510978,0.000584912
United States,1990 - 2017,All ages,Both,Thyroid cancer,DALYs annual % change,0.013647058,,
United States,2017,All ages,Both,Mesothelioma,Percent of total DALYs,0.000562178,0.000499908,0.000628818
United States,1990 - 2017,All ages,Both,Mesothelioma,DALYs annual % change,-0.0024913,,
United States,2017,All ages,Both,Hodgkin lymphoma,Percent of total DALYs,0.000457506,0.000376227,0.000673509
United States,1990 - 2017,All ages,Both,Hodgkin lymphoma,DALYs annual % change,-0.021545918,,
United States,2017,All ages,Both,Non-Hodgkin lymphoma,Percent of total DALYs,0.005092047,0.004572791,0.005610831
United States,1990 - 2017,All ages,Both,Non-Hodgkin lymphoma,DALYs annual % change,-0.006446722,,
United States,2017,All ages,Both,Multiple myeloma,Percent of total DALYs,0.002836887,0.002429595,0.003747769
United States,1990 - 2017,All ages,Both,Multiple myeloma,DALYs annual % change,0.00669902,,
United States,2017,All ages,Both,Other malignant neoplasms,Percent of total DALYs,0.004500073,0.003993584,0.00514361
United States,1990 - 2017,All ages,Both,Other malignant neoplasms,DALYs annual % change,0.000725819,,
United States,2017,All ages,Both,Rheumatic heart disease,Percent of total DALYs,0.001725165,0.001532004,0.00195077
United States,1990 - 2017,All ages,Both,Rheumatic heart disease,DALYs annual % change,-0.013973201,,
United States,2017,All ages,Both,Ischemic heart disease,Percent of total DALYs,0.080086531,0.071232202,0.089593614
United States,1990 - 2017,All ages,Both,Ischemic heart disease,DALYs annual % change,-0.016462042,,
United States,2017,All ages,Both,Ischemic stroke,Percent of total DALYs,0.018057616,0.016366305,0.019546755
United States,1990 - 2017,All ages,Both,Ischemic stroke,DALYs annual % change,-0.001660303,,
United States,2017,All ages,Both,Intracerebral hemorrhage,Percent of total DALYs,0.012571035,0.011290491,0.013913045
United States,1990 - 2017,All ages,Both,Intracerebral hemorrhage,DALYs annual % change,-0.001501923,,
United States,2017,All ages,Both,Subarachnoid hemorrhage,Percent of total DALYs,0.005067593,0.004606683,0.005521216
United States,1990 - 2017,All ages,Both,Subarachnoid hemorrhage,DALYs annual % change,-0.000991599,,
United States,2017,All ages,Both,Hypertensive heart disease,Percent of total DALYs,0.00845778,0.005157609,0.009696237
United States,1990 - 2017,All ages,Both,Hypertensive heart disease,DALYs annual % change,0.014119695,,
United States,2017,All ages,Both,Atrial fibrillation and flutter,Percent of total DALYs,0.006982996,0.00623622,0.007803119
United States,1990 - 2017,All ages,Both,Atrial fibrillation and flutter,DALYs annual % change,0.013942642,,
United States,2017,All ages,Both,Aortic aneurysm,Percent of total DALYs,0.00222042,0.001957981,0.002510751
United States,1990 - 2017,All ages,Both,Aortic aneurysm,DALYs annual % change,-0.018655099,,
United States,2017,All ages,Both,Peripheral artery disease,Percent of total DALYs,0.002407736,0.001404289,0.004310321
United States,1990 - 2017,All ages,Both,Peripheral artery disease,DALYs annual % change,0.032288848,,
United States,2017,All ages,Both,Endocarditis,Percent of total DALYs,0.001705135,0.001423324,0.002182188
United States,1990 - 2017,All ages,Both,Endocarditis,DALYs annual % change,0.011298126,,
United States,2017,All ages,Both,Other cardiovascular and circulatory diseases,Percent of total DALYs,0.006630371,0.00613771,0.00716088
United States,1990 - 2017,All ages,Both,Other cardiovascular and circulatory diseases,DALYs annual % change,-0.001596294,,
United States,2017,All ages,Both,Chronic obstructive pulmonary disease,Percent of total DALYs,0.046928448,0.042492393,0.051261578
United States,1990 - 2017,All ages,Both,Chronic obstructive pulmonary disease,DALYs annual % change,0.011254483,,
United States,2017,All ages,Both,Silicosis,Percent of total DALYs,1.87777E-05,1.50388E-05,2.31194E-05
United States,1990 - 2017,All ages,Both,Silicosis,DALYs annual % change,-0.028199608,,
United States,2017,All ages,Both,Asbestosis,Percent of total DALYs,0.000113001,9.43863E-05,0.000126496
United States,1990 - 2017,All ages,Both,Asbestosis,DALYs annual % change,0.011603477,,
United States,2017,All ages,Both,Coal workers pneumoconiosis,Percent of total DALYs,5.09404E-05,4.40796E-05,6.09083E-05
United States,1990 - 2017,All ages,Both,Coal workers pneumoconiosis,DALYs annual % change,-0.040364878,,
United States,2017,All ages,Both,Other pneumoconiosis,Percent of total DALYs,1.71595E-05,1.42711E-05,2.14417E-05
United States,1990 - 2017,All ages,Both,Other pneumoconiosis,DALYs annual % change,0.013494832,,
United States,2017,All ages,Both,Asthma,Percent of total DALYs,0.007299303,0.005738658,0.009122942
United States,1990 - 2017,All ages,Both,Asthma,DALYs annual % change,-0.005976947,,
United States,2017,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total DALYs,0.003783547,0.002892715,0.004354595
United States,1990 - 2017,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,DALYs annual % change,0.019329914,,
United States,2017,All ages,Both,Other chronic respiratory diseases,Percent of total DALYs,0.001500287,0.001370749,0.001620727
United States,1990 - 2017,All ages,Both,Other chronic respiratory diseases,DALYs annual % change,0.016922887,,
United States,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,Percent of total DALYs,0.000989751,0.000861533,0.001128315
United States,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,DALYs annual % change,0.001588403,,
United States,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,Percent of total DALYs,0.006251026,0.005540977,0.007000794
United States,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,DALYs annual % change,0.008696727,,
United States,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,Percent of total DALYs,0.004960275,0.00434231,0.005608392
United States,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,DALYs annual % change,0.009261685,,
United States,2017,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,Percent of total DALYs,0.00311189,0.002702198,0.003566713
United States,1990 - 2017,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,DALYs annual % change,0.007991082,,
United States,2017,All ages,Both,Peptic ulcer disease,Percent of total DALYs,0.001311357,0.001216146,0.001412309
United States,1990 - 2017,All ages,Both,Peptic ulcer disease,DALYs annual % change,-0.018360919,,
United States,2017,All ages,Both,Gastritis and duodenitis,Percent of total DALYs,0.001732362,0.00126022,0.002270927
United States,1990 - 2017,All ages,Both,Gastritis and duodenitis,DALYs annual % change,-0.00358726,,
United States,2017,All ages,Both,Appendicitis,Percent of total DALYs,0.00020169,0.0001838,0.000219847
United States,1990 - 2017,All ages,Both,Appendicitis,DALYs annual % change,-0.007799488,,
United States,2017,All ages,Both,Paralytic ileus and intestinal obstruction,Percent of total DALYs,0.001497561,0.001257763,0.001818641
United States,1990 - 2017,All ages,Both,Paralytic ileus and intestinal obstruction,DALYs annual % change,0.004535689,,
United States,2017,All ages,Both,"Inguinal, femoral, and abdominal hernia",Percent of total DALYs,0.000649666,0.000569539,0.000735627
United States,1990 - 2017,All ages,Both,"Inguinal, femoral, and abdominal hernia",DALYs annual % change,0.002934957,,
United States,2017,All ages,Both,Inflammatory bowel disease,Percent of total DALYs,0.003456518,0.002851415,0.004047678
United States,1990 - 2017,All ages,Both,Inflammatory bowel disease,DALYs annual % change,0.011907203,,
United States,2017,All ages,Both,Vascular intestinal disorders,Percent of total DALYs,0.001483924,0.001312467,0.001706724
United States,1990 - 2017,All ages,Both,Vascular intestinal disorders,DALYs annual % change,0.000894952,,
United States,2017,All ages,Both,Gallbladder and biliary diseases,Percent of total DALYs,0.000826999,0.000734587,0.000935827
United States,1990 - 2017,All ages,Both,Gallbladder and biliary diseases,DALYs annual % change,0.002187097,,
United States,2017,All ages,Both,Pancreatitis,Percent of total DALYs,0.001257653,0.001114623,0.001429891
United States,1990 - 2017,All ages,Both,Pancreatitis,DALYs annual % change,0.002919745,,
United States,2017,All ages,Both,Gastroesophageal reflux disease,Percent of total DALYs,0.004250569,0.002362343,0.006966508
United States,1990 - 2017,All ages,Both,Gastroesophageal reflux disease,DALYs annual % change,0.005474201,,
United States,2017,All ages,Both,Other digestive diseases,Percent of total DALYs,0.001759297,0.00164932,0.001877539
United States,1990 - 2017,All ages,Both,Other digestive diseases,DALYs annual % change,0.00142053,,
United States,2017,All ages,Both,Alzheimer's disease and other dementias,Percent of total DALYs,0.025449352,0.023290964,0.02760785
United States,1990 - 2017,All ages,Both,Alzheimer's disease and other dementias,DALYs annual % change,0.011059876,,
United States,2017,All ages,Both,Parkinson's disease,Percent of total DALYs,0.004105281,0.003431031,0.004506555
United States,1990 - 2017,All ages,Both,Parkinson's disease,DALYs annual % change,0.01683547,,
United States,2017,All ages,Both,Epilepsy,Percent of total DALYs,0.004127565,0.002621485,0.006086948
United States,1990 - 2017,All ages,Both,Epilepsy,DALYs annual % change,0.002419186,,
United States,2017,All ages,Both,Multiple sclerosis,Percent of total DALYs,0.002029753,0.001736984,0.002248033
United States,1990 - 2017,All ages,Both,Multiple sclerosis,DALYs annual % change,0.011875599,,
United States,2017,All ages,Both,Migraine,Percent of total DALYs,0.02380206,0.016535779,0.032347005
United States,1990 - 2017,All ages,Both,Migraine,DALYs annual % change,0.00030975,,
United States,2017,All ages,Both,Tension-type headache,Percent of total DALYs,0.003455932,0.002095006,0.005210155
United States,1990 - 2017,All ages,Both,Tension-type headache,DALYs annual % change,0.001580968,,
United States,2017,All ages,Both,Motor neuron disease,Percent of total DALYs,0.001986151,0.001738591,0.002237102
United States,1990 - 2017,All ages,Both,Motor neuron disease,DALYs annual % change,0.016328874,,
United States,2017,All ages,Both,Other neurological disorders,Percent of total DALYs,0.002407676,0.002098885,0.002811608
United States,1990 - 2017,All ages,Both,Other neurological disorders,DALYs annual % change,0.004267881,,
United States,2017,All ages,Both,Schizophrenia,Percent of total DALYs,0.007137229,0.005595293,0.008594721
United States,1990 - 2017,All ages,Both,Schizophrenia,DALYs annual % change,0.000335611,,
United States,2017,All ages,Both,Alcohol use disorders,Percent of total DALYs,0.010962564,0.009827751,0.012276604
United States,1990 - 2017,All ages,Both,Alcohol use disorders,DALYs annual % change,0.004070251,,
United States,2017,All ages,Both,Opioid use disorders,Percent of total DALYs,0.039465426,0.0343647,0.04484726
